SLURM_JOB_ID,SLURM_JOB_NAME,SLURM_JOB_NUM_NODES,SLURM_NTASKS,MPI_IMPL,EXPERIMENT,EXECUTABLE,ARG1,ARG2,ARG3,ARG4,OUTPUT
11882826,qtnh,2,256,UCX,,riqft,40,8,16,16,"|T| = 0.554632
T[0] = (4.83446e-07,-4.41554e-07)
Time taken: 14499743 ms"
11882827,qtnh,2,256,UCX,,riqft,40,1,16,8,"|T| = 0.549327
T[0] = (8.30989e-07,-5.98491e-08)
Time taken: 58877 ms"
11882828,qtnh,2,256,UCX,,riqft,40,8,16,16,"|T| = 0.459772
T[0] = (3.60486e-07,-2.21319e-07)
Time taken: 1057274 ms"
11882829,qtnh,2,256,UCX,,riqft,40,1,16,8,"|T| = 0.45565
T[0] = (4.72264e-07,-8.47078e-07)
Time taken: 32981 ms"
11882830,qtnh,2,256,UCX,,riqft,40,4,16,16,"|T| = 0.555365
T[0] = (-5.34318e-07,-7.8995e-07)
Time taken: 1148994 ms"
11882831,qtnh,2,256,UCX,,riqft,40,1,16,4,"|T| = 0.550069
T[0] = (-2.33926e-07,-2.74476e-06)
Time taken: 33329 ms"
11882832,qtnh,2,256,UCX,,riqft,40,4,16,16,"|T| = 0.459552
T[0] = (-5.92634e-07,-6.32921e-07)
Time taken: 308019 ms"
11882833,qtnh,2,256,UCX,,riqft,40,1,16,4,"|T| = 0.451999
T[0] = (2.42664e-07,-1.39809e-06)
Time taken: 21480 ms"
11882834,qtnh,2,256,UCX,,riqft,40,2,16,16,
11882835,qtnh,2,256,UCX,,riqft,40,1,16,2,"|T| = 0.553694
T[0] = (-7.59464e-07,9.02181e-07)
Time taken: 15824 ms"
11882836,qtnh,2,256,UCX,,riqft,40,2,16,16,"|T| = 0.461971
T[0] = (-2.94864e-07,9.40997e-08)
Time taken: 108938 ms"
11882837,qtnh,2,256,UCX,,riqft,40,1,16,2,"|T| = 0.473527
T[0] = (-5.10545e-07,6.87414e-07)
Time taken: 9520 ms"
11882838,qtnh,2,256,UCX,,riqft,40,1,16,16,"|T| = 0.556695
T[0] = (1.74767e-07,-4.04658e-07)
Time taken: 129374 ms"
11882840,qtnh,2,256,UCX,,riqft,40,1,16,1,"|T| = 0.52648
T[0] = (5.41392e-07,2.84961e-07)
Time taken: 12207 ms"
11882841,qtnh,2,256,UCX,,riqft,40,1,16,16,"|T| = 0.46355
T[0] = (-1.76424e-07,-5.82254e-07)
Time taken: 50310 ms"
11882842,qtnh,2,256,UCX,,riqft,40,1,16,1,"|T| = 0.456854
T[0] = (-2.90451e-07,1.42086e-06)
Time taken: 7600 ms"
